NP;gender;score;strata;group
Lehrkraft;F;w;F_w;1
Autorität;F;m;F_m;1
Hauptfigur;F;m;F_m;1
Berühmtheit;F;n;F_n;1
Fachkraft;F;n;F_n;1
Kultfigur;F;n;F_n;1
Begleitung;F;n;F_n;1
Assistenz;F;w;F_w;1
Diva;F;w;F_w;1
Boss;M;m;M_m;1
Fuchs;M;m;M_m;1
Jockey;M;m;M_m;1
Junkie;M;m;M_m;1
Racker;M;m;M_m;1
Spaßvogel;M;m;M_m;1
Vormund;M;m;M_m;1
Vorstand;M;m;M_m;1
Passagier;M;n;M_n;1
Schatz;M;n;M_n;1
Star;M;n;M_n;1
Babysitter;M;w;M_w;1
Trotzkopf;M;w;M_w;1
Mündel;N/M/F;n;N/M/F_n;1
Balg;N/M;n;N/M_n;1
Nesthäkchen;N;f;N_f;1
Opfer;N;f/n;N_f/n;1
Ferkel;N;m;N_m;1
Jahrhunderttalent;N;m;N_m;1
Wunderkind;N;m;N_m;1
Scheusal;N;m;N_m;2
Leichtgewicht;N;m;N_m;2
Kind;N;n;N_n;2
Talent;N;n;N_n;2
Wesen;N;n;N_n;2
Unschuldslamm;N;w;N_w;2
Leitung;F;m;F_m;2
Führungskraft;F;m;F_m;2
Hoheit;F;n;F_n;2
Ikone;F;n;F_n;2
Koryphäe;F;n;F_n;2
Vertretung;F;n;F_n;2
Klatschbase;F;w;F_w;2
Haushaltshilfe;F;w;F_w;2
Ahne;M;m;M_m;2
Gangster;M;m;M_m;2
Gast;M;m;M_m;2
Geizhals;M;m;M_m;2
Kauz;M;m;M_m;2
Portier;M;m;M_m;2
Zögling;M;m;M_m;2
Fratz;M;n;M_n;2
Mensch;M;n;M_n;2
Newbie;M;n;M_n;2
Influencer;M;w;M_w;2
Popstar;M;w;M_w;2
Gegenüber;N/M;n;N/M_n;2
Monster;N;m;N_m;2
Tier;N;m;N_m;2
Unikum;N;m;N_m;3
Laufwunder;N;m;N_m;3
Schlitzohr;N;m;N_m;3
Individuum;N;n;N_n;3
Nachwuchstalent;N;n;N_n;3
Vorbild;N;n;N_n;3
Mannequin;N;w;N_w;3
Memme;F;m;F_m;3
Aushilfe;F;n;F_n;3
Majestät;F;n;F_n;3
Person;F;n;F_n;3
Waise;F;n;F_n;3
Bedienung;F;w;F_w;3
Geisel;F;w;F_w;3
Bankier;M;m;M_m;3
Feigling;M;m;M_m;3
Filmstar;M;m;M_m;3
Flüchtling;M;m;M_m;3
Insasse;M;m;M_m;3
Lehrling;M;m;M_m;3
Neuzugang;M;m;M_m;3
Fan;M;n;M_n;3
Superstar;M;n;M_n;3
Teenager;M;n;M_n;3
Rotschopf;M;w;M_w;3
Oberhaupt;N;m;N_m;3
Genie;N;m;N_m;3
Aushängeschild;N;m;N_m;3
Ekel;N;m;N_m;3
Idol;N;n;N_n;4
Lebewesen;N;n;N_n;4
Patenkind;N;n;N_n;4
Geschöpf;N;w;N_w;4
Wache;F;m;F_m;4
Aushilfskraft;F;n;F_n;4
Hilfskraft;F;n;F_n;4
Legende;F;n;F_n;4
Klatschtante;F;w;F_w;4
Schnapsdrossel;F;w;F_w;4
Barkeeper;M;m;M_m;4
Beirat;M;m;M_m;4
Blödian;M;m;M_m;4
Clown;M;m;M_m;4
Freak;M;m;M_m;4
Nerd;M;m;M_m;4
Snob;M;m;M_m;4
Azubi;M;n;M_n;4
Hippie;M;n;M_n;4
Laie;M;n;M_n;4
Urahne;M;w;M_w;4
Ausnahmetalent;N;m;N_m;4
Original;N;m;N_m;4
Phänomen;N;m;N_m;4
Glückskind;N;m;N_m;4
Gör;N;n;N_n;4
Mitglied;N;n;N_n;4
Tennis-Ass;N;n;N_n;4
Model;N;w;N_w;4